Location,Area,Condition,Flooring,Haunted,Illegal,Costly
1,2511,3,2,1,1,-1
-2,9351,1,5,1,0,1
2,4660,2,5,1,0,1
3,2770,1,5,0,1,-1
1,6526,6,1,1,1,1
1,2677,1,4,0,0,-1
-2,8271,5,3,0,1,1
2,890,3,2,1,0,-1
2,5257,4,5,0,0,1
3,7589,6,5,0,0,1
1,3236,6,2,1,1,-1
-2,2820,3,4,0,1,-1
0,8748,1,3,1,1,1
2,6941,4,4,1,0,1
3,2103,6,3,0,1,-1
0,6690,2,3,1,1,1
1,9060,6,4,1,0,1
1,365,6,1,0,0,-1
-2,3023,3,3,1,1,-1
3,4784,5,4,1,0,1
0,8078,2,2,1,1,1
0,338,4,5,0,1,-1
3,3131,5,1,1,1,-1
-1,6618,3,5,1,1,1
3,1526,5,4,0,0,-1
1,9259,5,4,1,1,1
1,1323,6,5,0,1,-1
2,1637,1,2,1,0,-1
3,6453,3,4,1,0,1
3,6931,1,4,0,1,1
3,5063,1,4,0,0,1
2,3126,5,2,0,1,-1
-2,3221,2,3,1,0,-1
2,1123,3,4,0,1,-1
0,2258,4,2,0,1,-1
0,1848,6,2,1,0,-1
0,3462,4,1,0,0,-1
2,4120,6,1,0,1,1
2,3827,2,2,0,1,-1
-1,4528,1,5,0,0,1
1,4524,4,5,1,1,1
3,410,5,2,0,1,-1
2,696,6,4,0,1,-1
2,8967,3,5,0,0,1
1,4912,4,1,0,1,1
-1,7801,6,2,0,1,1
0,7561,3,5,0,0,1
-1,6788,2,2,0,1,1
2,7681,5,4,1,0,1
0,7859,3,4,0,0,1
0,9386,5,3,1,1,1
0,4050,1,3,0,0,1
0,9315,1,4,0,0,1
2,8739,5,4,1,1,1
1,2815,1,5,1,0,-1
-1,7503,5,1,1,0,1
1,1184,3,1,0,1,-1
-1,5376,2,4,1,0,1
-1,7621,5,3,0,0,1
3,1182,4,3,0,1,-1
3,8086,2,2,1,0,1
3,3477,5,4,0,0,-1
2,5121,4,4,0,0,1
0,8569,6,4,1,1,1
0,966,5,3,1,0,-1
-1,3698,3,4,1,1,-1
-2,4164,3,2,1,0,1
1,1857,3,1,0,1,-1
1,6793,3,4,0,0,1
-2,2944,3,4,1,0,-1
1,4152,6,2,0,1,1
3,6915,2,3,0,0,1
1,278,6,1,1,1,-1
0,2242,5,4,1,1,-1
-2,5434,1,2,0,1,1
-2,485,2,4,1,0,-1
-2,5652,1,5,1,0,1
-2,9351,2,1,0,1,1
3,9192,2,4,1,1,1
1,4743,5,2,0,0,1
3,5713,3,2,0,1,1
1,2200,2,1,0,1,-1
2,2356,4,4,0,0,-1
-2,8266,2,2,1,1,1
-1,2420,2,5,0,0,-1
-2,1290,4,4,1,1,-1
-2,3616,3,5,0,0,-1
-2,2764,5,2,1,0,-1
1,2470,2,2,0,1,-1
1,7452,6,1,0,1,1
-2,641,3,4,1,0,-1
1,1654,1,1,0,0,-1
3,3788,4,4,0,0,-1
0,7137,5,5,1,1,1
-1,7026,1,3,0,0,1
-1,5369,5,1,0,1,1
2,775,3,1,1,1,-1
1,5160,2,5,0,1,1
-2,8200,6,4,1,1,1
1,6826,3,2,1,0,1
-2,4077,2,2,0,0,1
0,5249,4,4,0,0,1
-2,6527,4,2,1,0,1
-1,656,1,1,0,0,-1
-1,5629,1,3,0,0,1
1,3657,6,5,1,1,-1
3,822,1,5,1,0,-1
-2,5112,3,1,1,0,1
-1,8046,4,1,1,0,1
-2,2246,4,3,0,1,-1
-1,7888,5,4,0,1,1
3,1162,2,2,0,0,-1
0,4899,3,2,1,1,1
-1,7435,2,3,0,0,1
1,624,2,4,1,1,-1
0,2628,6,3,0,1,-1
2,6868,3,1,0,0,1
-2,1580,4,3,1,0,-1
0,4954,5,5,0,0,1
0,393,1,2,0,1,-1
1,3038,1,4,0,0,-1
0,4635,2,3,1,0,1
2,2659,1,4,0,1,-1
3,1199,4,2,0,1,-1
1,2546,5,4,0,1,-1
2,7698,5,3,0,0,1
0,5714,2,5,1,0,1
3,6571,4,2,1,1,1
1,1244,3,1,1,0,-1
-2,7114,4,4,1,0,1
-2,5975,3,4,1,0,1
2,316,2,3,0,1,-1
-1,1108,4,2,1,0,-1
-1,9139,1,1,1,0,1
-1,6118,2,5,0,0,1
2,3487,6,3,1,1,-1
-2,7875,5,4,1,1,1
-2,6824,4,4,1,0,1
1,343,4,2,0,1,-1
-2,8468,1,2,0,1,1
2,8963,6,2,1,0,1
-2,5649,3,5,1,0,1
2,5543,5,4,1,0,1
0,3117,3,4,0,1,-1
0,4669,4,3,0,1,1
0,4431,6,3,0,1,1
-2,1901,6,1,1,0,-1
-2,2038,5,2,0,0,-1
2,8293,1,2,1,0,1
-2,4738,5,1,0,1,1
-2,8981,5,4,1,1,1
3,9900,2,4,0,1,1
3,6865,4,1,0,1,1
3,2837,6,5,1,0,-1
2,8199,3,2,0,0,1
-2,8640,4,1,0,0,1
-2,3382,2,2,0,0,-1
-2,712,1,3,0,0,-1
0,2878,6,5,0,1,-1
1,7360,6,1,0,0,1
0,6179,1,4,1,1,1
-1,2257,4,1,0,1,-1
-1,3706,2,5,1,0,-1
-2,8103,4,4,1,1,1
-2,8612,2,5,1,1,1
1,9106,4,4,0,0,1
0,6653,6,4,1,1,1
0,7061,3,5,0,0,1
-1,2568,3,4,0,1,-1
1,1973,2,1,1,0,-1
2,4672,5,3,1,0,1
-1,8933,4,3,1,0,1
